name,price,rating,stock,category
The Legend of Zelda: Four Swords Adventures,"75,99 €",4 / 5,Out of Stock,"Action Adventure, Fantasy"
Joe Danger,"77,99 €",4 / 5,In stock,"Driving, Racing, Arcade, Automobile"
Tales of Symphonia,"90,99 €",4 / 5,Out of Stock,"Role-Playing, Console-style RPG"
Unreal Tournament 2003,"78,99 €",4 / 5,In stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
Age of Wonders II: The Wizard's Throne,"85,99 €",4 / 5,Out of Stock,"Strategy, Turn-Based, Fantasy, General"
Daytona USA,"85,99 €",4 / 5,In stock,"Driving, Racing, Arcade"
Links 2001,"63,99 €",4 / 5,Out of Stock,"Sports, Traditional, Individual, Golf, Sim"
EverQuest: The Ruins of Kunark,"85,99 €",4 / 5,In stock,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy"
Full Throttle,"86,99 €",4 / 5,Out of Stock,"Adventure, General"
Katamari Damacy,"88,99 €",4 / 5,In stock,"Action, General"
The Lord of the Rings Online: Shadows of Angmar,"80,99 €",4 / 5,Out of Stock,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy"
Grand Theft Auto: Vice City Stories,"82,99 €",4 / 5,In stock,"Action Adventure, Modern, Open-World"
Pony Island,"74,99 €",4 / 5,Out of Stock,"Puzzle, General"
"Warhammer 40,000: Dawn of War","87,99 €",4 / 5,In stock,"Strategy, Real-Time, Sci-Fi, General"
MLB The Show 19,"76,99 €",4 / 5,Out of Stock,"Sports, Team, Baseball, Sim"
Tales From Space: Mutant Blobs Attack,"83,99 €",4 / 5,In stock,"Action, Platformer, 2D"
Max Payne 3,"79,99 €",4 / 5,Out of Stock,"Action, Shooter, Third-Person, Modern, Arcade"
Skate,"84,99 €",4 / 5,In stock,"Sports, Alternative, Individual, Skateboarding, Skate / Skateboard"
Warhammer Online: Age of Reckoning,"79,99 €",4 / 5,Out of Stock,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy"
NHL 12,"71,99 €",4 / 5,In stock,"Sports, Traditional, Team, Ice Hockey, Sim"
Dead Space (2008),"82,99 €",4 / 5,Out of Stock,"Action, Shooter, Third-Person, Sci-Fi, Arcade"
Advance Wars: Days of Ruin,"87,99 €",4 / 5,In stock,"Strategy, Turn-Based, Modern, Tactics"
The Elder Scrolls IV - Knights of the Nine,"75,99 €",4 / 5,Out of Stock,"Role-Playing, First-Person, Western-Style"
Final Fantasy IV Pixel Remaster,"73,99 €",4 / 5,In stock,"Role-Playing, Japanese-Style"
Forza Horizon 2,"83,99 €",4 / 5,Out of Stock,"Driving, Racing, Simulation, GT / Street, Automobile"
Monster Train,"83,99 €",4 / 5,In stock,"Strategy, Turn-Based, Card Battle"
Crypt of the NecroDancer: Nintendo Switch Edition,"72,99 €",4 / 5,Out of Stock,"Role-Playing, General, Action RPG"
Moto Racer Advance,"86,99 €",4 / 5,In stock,"Driving, Racing, Motorcycle, Street"
Command & Conquer: Red Alert 2 - Yuri's Revenge,"89,99 €",4 / 5,Out of Stock,"Strategy, Real-Time, Sci-Fi, Command"
Europa Universalis,"76,99 €",4 / 5,In stock,"Strategy, General"
IL-2 Sturmovik: 1946,"87,99 €",4 / 5,Out of Stock,"Simulation, Flight, WWII, Combat"
Luigi's Mansion 3,"85,99 €",4 / 5,In stock,"Action Adventure, General"
Dance Central 3,"79,99 €",4 / 5,Out of Stock,"Dancing, Action, Miscellaneous, Rhythm"
Shatter,"76,99 €",4 / 5,In stock,"Action, General"
Luigi's Mansion: Dark Moon,"84,99 €",4 / 5,Out of Stock,"Action Adventure, Fantasy, General"
Psychonauts,"86,99 €",4 / 5,In stock,"Action, Platformer, 3D"
Dragon Quest XI: Echoes of an Elusive Age,"86,99 €",4 / 5,Out of Stock,"Role-Playing, Japanese-Style"
F-Zero: Maximum Velocity,"78,99 €",4 / 5,In stock,"Driving, Racing, Futuristic"
Destiny: The Taken King,"62,99 €",4 / 5,Out of Stock,"Action, Shooter, First-Person, Arcade"
Heroes of the Storm,"63,99 €",4 / 5,In stock,"Action, Strategy, Real-Time, General, MOBA"
The Binding of Isaac: Afterbirth +,"83,99 €",4 / 5,Out of Stock,"Action, Shooter, ""Shoot-Em-Up"", Top-Down"
Super Smash Bros. for Nintendo 3DS,"85,99 €",4 / 5,In stock,"Fighting, 3D, 2D, Action"
Medieval II: Total War Kingdoms,"88,99 €",4 / 5,Out of Stock,"Strategy, Real-Time, Historic, General"
DJMax Respect,"80,99 €",4 / 5,In stock,"Action, Rhythm, Music"
Resogun: Defenders,"72,99 €",4 / 5,Out of Stock,"Action, Shooter, ""Shoot-Em-Up"", Horizontal"
The Legend of Zelda: Four Swords Anniversary Edition,"75,99 €",4 / 5,In stock,"Action Adventure, Fantasy, General"
Maboshi's Arcade,"79,99 €",4 / 5,Out of Stock,"Miscellaneous, Puzzle, Action"
Peggle Deluxe,"79,99 €",4 / 5,In stock,"Miscellaneous, Puzzle, Action"
WWE SmackDown! Here Comes the Pain,"89,99 €",4 / 5,Out of Stock,"Action, Fighting, Wrestling"
Hot Shots Golf 3,"80,99 €",4 / 5,In stock,"Sports, Traditional, Golf, Arcade"
Monopoly Tycoon,"77,99 €",4 / 5,Out of Stock,"Strategy, Tycoon, Management, Business / Tycoon"
Sam & Max Episode 204: Chariots of the Dogs,"71,99 €",4 / 5,In stock,"Adventure, General, 3D, Point-and-Click, Third-Person"
Machinarium,"87,99 €",4 / 5,Out of Stock,"Adventure, General, Third-Person, Point-and-Click, Sci-Fi"
Nioh 2,"79,99 €",4 / 5,In stock,"Role-Playing, Action RPG"
Frozen Synapse,"75,99 €",4 / 5,Out of Stock,"Strategy, Turn-Based, General, Modern, Tactics"
Champions of Norrath,"82,99 €",4 / 5,In stock,"Role-Playing, Action RPG"
The Witcher 3: Wild Hunt - Complete Edition,"85,99 €",4 / 5,Out of Stock,"Role-Playing, Action RPG"
Freelancer,"89,99 €",4 / 5,In stock,"Simulation, Sci-Fi, Space, Small Spaceship, Combat"
Bayonetta & Vanquish,"79,99 €",4 / 5,Out of Stock,"Miscellaneous, Compilation"
Zenzizenzic,"61,99 €",4 / 5,In stock,"Action, General"
NBA Jam: On Fire Edition,"75,99 €",4 / 5,Out of Stock,"Sports, Traditional, Team, Basketball, Arcade"
Galactic Civilizations III: Crusade,"70,99 €",4 / 5,In stock,"Strategy, Turn-Based, 4X"
Final Fantasy IV Advance,"84,99 €",4 / 5,Out of Stock,"Role-Playing, Console-style RPG"
Robo Recall,"76,99 €",4 / 5,In stock,"Action, General, Shooter, Light Gun"
Super Stardust HD,"83,99 €",4 / 5,Out of Stock,"Action, General, Shooter, Static, ""Shoot-Em-Up"", Top-Down"
Super Paper Mario,"80,99 €",4 / 5,In stock,"Action, Role-Playing, Platformer, Action RPG, 3D"
Star Wars: Rogue Squadron,"85,99 €",4 / 5,Out of Stock,"Simulation, Sci-Fi, Small Spaceship"
Professor Layton and the Curious Village,"85,99 €",4 / 5,In stock,"Miscellaneous, Adventure, Puzzle, Edutainment, General"
AudioSurf,"87,99 €",4 / 5,Out of Stock,"Action, Miscellaneous, Rhythm, Music"
Super Mario 64 DS,"83,99 €",4 / 5,In stock,"Action, Platformer, 3D"
Dead Rising,"77,99 €",4 / 5,Out of Stock,"Action Adventure, Horror, Open-World"
MLB The Show 17,"69,99 €",4 / 5,In stock,"Sports, Team, Baseball, Sim"
AMID EVIL,"74,99 €",4 / 5,Out of Stock,"Action Adventure, General"
Mario Kart 7,"82,99 €",4 / 5,In stock,"Driving, Racing, Arcade, Kart, Automobile"
Halo: The Master Chief Collection,"79,99 €",4 / 5,Out of Stock,"Miscellaneous, Compilation, Action, Shooter, First-Person, Sci-Fi, Arcade"
Batman: The Enemy Within - Episode 5: Same Stitch,"75,99 €",4 / 5,In stock,"Adventure, Point-and-Click"
NCAA Football 11,"75,99 €",4 / 5,Out of Stock,"Sports, Traditional, Team, Football, Sim"
Phantasy Star Online Episode I & II,"85,99 €",4 / 5,In stock,"Role-Playing, Massively Multiplayer Online, Sci-Fi"
Persona 4 Arena Ultimax,"43,99 €",4 / 5,Out of Stock,"Action, Fighting, 2D"
Pikmin 3 Deluxe,"84,99 €",4 / 5,In stock,"Strategy, Real-Time, General"
Fire Emblem: Path of Radiance,"89,99 €",4 / 5,Out of Stock,"Strategy, Turn-Based, Fantasy"
Super Mega Baseball,"72,99 €",4 / 5,In stock,"Traditional, Sports, Team, Baseball, Arcade"
DDRMAX: Dance Dance Revolution,"87,99 €",4 / 5,Out of Stock,"Miscellaneous, Rhythm, Dancing"
F355 Challenge,"83,99 €",4 / 5,In stock,"Driving, Racing, GT / Street"
The Elder Scrolls III: Bloodmoon,"83,99 €",4 / 5,Out of Stock,"Role-Playing, First-Person, Western-Style"
Boom Blox,"80,99 €",4 / 5,In stock,"Miscellaneous, Puzzle, General"
Maximo: Ghosts to Glory,"89,99 €",3 / 5,Out of Stock,"Action, Platformer, 3D"
BlazBlue: Central Fiction,"77,99 €",3 / 5,In stock,"Action, Fighting, 2D"
80 DAYS,"78,99 €",3 / 5,Out of Stock,"Adventure, Visual Novel"
Hearthstone: Heroes of Warcraft - Goblins Vs. Gnomes,"61,99 €",3 / 5,In stock,"Miscellaneous, Strategy, Turn-Based, Card Battle"
MotorStorm,"74,99 €",3 / 5,Out of Stock,"Driving, Racing, Simulation, Rally / Offroad, Automobile"
WHAT THE GOLF?,"83,99 €",3 / 5,In stock,"Sports, Individual, Golf, Arcade"
God of War: Origins Collection,"87,99 €",3 / 5,Out of Stock,"Miscellaneous, Compilation"
Xenogears,"92,99 €",3 / 5,In stock,"Role-Playing, Console-style RPG"
Space Rangers 2: Rise of the Dominators,"89,99 €",3 / 5,Out of Stock,"Role-Playing, General"
Tetris DS,"79,99 €",3 / 5,In stock,"Miscellaneous, Puzzle, Stacking"
Shin Megami Tensei: Devil Survivor,"45,99 €",3 / 5,Out of Stock,"Role-Playing, Strategy, Turn-Based, General, Tactics"
Battlefield 3,"75,99 €",3 / 5,In stock,"Action, Shooter, First-Person, Modern, Tactical, Arcade"
Monster Hunter Tri,"85,99 €",3 / 5,Out of Stock,"Role-Playing, Action RPG"
Return to Castle Wolfenstein: Tides of War,"87,99 €",3 / 5,In stock,"Action, Shooter, First-Person, Historic"
Heroes of Might and Magic IV,"76,99 €",3 / 5,Out of Stock,"Strategy, Turn-Based, Fantasy, General"
Command & Conquer: Red Alert 2,"89,99 €",3 / 5,In stock,"Strategy, Real-Time, Sci-Fi, Command"
Shogun: Total War,"84,99 €",3 / 5,Out of Stock,"Strategy, Turn-Based, Real-Time, Historic, General"
Mega Man X Legacy Collection,"86,99 €",3 / 5,In stock,"Miscellaneous, Compilation"
Rayman Legends: Definitive Edition,"84,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
Shin Megami Tensei: Devil Survivor 2 Record Breaker,"45,99 €",3 / 5,In stock,"Role-Playing, General, Strategy, Turn-Based, Tactics"
Gears of War 4,"70,99 €",3 / 5,Out of Stock,"Sci-Fi, Action, Shooter, Third-Person, Arcade"
Halo 5: Guardians,"64,99 €",3 / 5,In stock,"Shooter, Sci-Fi, Action, First-Person, Arcade"
Football Manager 2012,"79,99 €",3 / 5,Out of Stock,"Sports, Traditional, Team, Football, Soccer, Management"
Inscryption,"87,99 €",3 / 5,In stock,"Strategy, Turn-Based, Card Battle"
ZEN Pinball 2: South Park: Super-Sweet Pinball,"60,99 €",3 / 5,Out of Stock,"Action, Miscellaneous, Parlor, Pinball"
Trine 2: Director's Cut,"79,99 €",3 / 5,In stock,"Action, Platformer, 2D"
Guild Wars Factions,"84,99 €",3 / 5,Out of Stock,"Role-Playing, General, Massively Multiplayer"
Guacamelee!,"78,99 €",3 / 5,In stock,"Action, Platformer, 2D"
No More Heroes 2: Desperate Struggle,"88,99 €",3 / 5,Out of Stock,"Action, ""Beat-Em-Up"", 3D"
LEGO Star Wars II: The Original Trilogy,"87,99 €",3 / 5,In stock,"Action Adventure, Sci-Fi"
80 Days (2015),"74,99 €",3 / 5,Out of Stock,"Adventure, Visual Novel"
Spore,"57,99 €",3 / 5,In stock,"Strategy, Breeding/Constructing, General"
Unity of Command,"73,99 €",3 / 5,Out of Stock,"Strategy, Turn-Based, Historic, General"
Colin McRae Rally 04,"82,99 €",3 / 5,In stock,"Driving, Racing, Rally / Offroad"
Skies of Arcadia Legends,"87,99 €",3 / 5,Out of Stock,"Role-Playing, Console-style RPG"
Fear Effect 2: Retro Helix,"72,99 €",3 / 5,In stock,"Action Adventure, Horror"
Sega GT,"79,99 €",3 / 5,Out of Stock,"Driving, Racing, GT / Street"
Kingdom: Two Crowns,"72,99 €",3 / 5,In stock,"Action, General"
Hearthstone: Heroes of Warcraft - The Grand Tournament,"41,99 €",3 / 5,Out of Stock,"Strategy, Turn-Based, Card Battle"
Eliza,"62,99 €",3 / 5,In stock,"Adventure, Visual Novel"
"Time Gentlemen, Please!","74,99 €",3 / 5,Out of Stock,"Adventure, General, Point-and-Click"
Horizon Zero Dawn: Complete Edition,"65,99 €",3 / 5,In stock,"Role-Playing, Action RPG"
Mushihimesama,"84,99 €",3 / 5,Out of Stock,"Action, Shooter, ""Shoot-Em-Up"", Vertical"
Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,"78,99 €",3 / 5,In stock,"Role-Playing, Japanese-Style"
Total War: WARHAMMER II - Rise of the Tomb Kings,"70,99 €",3 / 5,Out of Stock,"Strategy, Real-Time, Tactics"
Guilty Gear -Strive-,"80,99 €",3 / 5,In stock,"Action, Fighting, 2D"
Frozen Synapse Prime,"72,99 €",3 / 5,Out of Stock,"General, Strategy, Turn-Based, Sci-Fi, Modern, Tactics"
Killzone 3,"80,99 €",3 / 5,In stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
Devil May Cry 3: Dante's Awakening,"91,99 €",3 / 5,Out of Stock,"Action Adventure, Fantasy"
Professor Layton and the Diabolical Box,"85,99 €",3 / 5,In stock,"Miscellaneous, Puzzle, General"
Europa Universalis IV: Wealth of Nations,"84,99 €",3 / 5,Out of Stock,"Strategy, Real-Time, General, Historic"
Disciples II: Dark Prophecy,"87,99 €",3 / 5,In stock,"Strategy, Turn-Based, Fantasy, General"
Silent Hill 2: Restless Dreams,"87,99 €",3 / 5,Out of Stock,"Action Adventure, Horror"
Frostpunk,"84,99 €",3 / 5,In stock,"Strategy, Action Adventure, Management, Survival, Government"
Football Manager 2020,"60,99 €",3 / 5,Out of Stock,"Sports, Team, Soccer, Management"
Polybius,"72,99 €",3 / 5,N/A,"Action, Shooter, Rail"
Crysis Warhead,"79,99 €",3 / 5,Out of Stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
Uncharted: The Lost Legacy,"80,99 €",3 / 5,In stock,"Action, Action Adventure, General"
Tom Clancy's Rainbow Six 3: Black Arrow,"79,99 €",3 / 5,Out of Stock,"Action, Shooter, First-Person, Tactical, Modern"
Griftlands,"77,99 €",3 / 5,In stock,"Role-Playing, Strategy, Turn-Based, General, Card Battle"
ZEN Pinball 2: Aliens Vs. Pinball,"61,99 €",3 / 5,Out of Stock,"Action, Pinball"
Bit.Trip Complete,"81,99 €",3 / 5,In stock,"Miscellaneous, Compilation"
Classic NES Series: Super Mario Bros.,"85,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
Age of Mythology: The Titans,"88,99 €",3 / 5,In stock,"Strategy, Real-Time, Fantasy, General"
SimCity 4,"87,99 €",3 / 5,Out of Stock,"Strategy, City Building, Management, Modern, Government"
Sega Soccer Slam,"77,99 €",3 / 5,In stock,"Sports, Traditional, Soccer, Arcade"
Spider-Man: Mysterio's Menace,"78,99 €",3 / 5,Out of Stock,"Action, General"
Super Mario Advance,"73,99 €",3 / 5,In stock,"Action, Platformer, 2D"
Microsoft Train Simulator,"76,99 €",3 / 5,Out of Stock,"Simulation, Train, Vehicle"
San Francisco Rush 2049,"86,99 €",3 / 5,In stock,"Driving, Racing, Futuristic"
WipeOut 64,"75,99 €",3 / 5,Out of Stock,"Driving, Racing, Futuristic"
Dead or Alive,"85,99 €",3 / 5,In stock,"Action, Fighting, 3D"
Magic: The Gathering Arena,"31,99 €",3 / 5,Out of Stock,"Strategy, Turn-Based, Card Battle"
Lair of the Clockwork God,"74,99 €",3 / 5,In stock,"Adventure, General"
"Snipperclips Plus: Cut It Out, Together!","81,99 €",3 / 5,Out of Stock,"Puzzle, General"
Tails Of Iron,"84,99 €",3 / 5,In stock,"Role-Playing, Action RPG"
Hatsune Miku: Project Diva Future Tone - Colorful Tone,"77,99 €",3 / 5,Out of Stock,"Action, Rhythm, Music"
Hatsune Miku: Project Diva Future Tone - Future Sound,"75,99 €",3 / 5,In stock,"Action, Rhythm, Music"
Dark Void Zero,"72,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
Etrian Odyssey IV: Legends of the Titan,"83,99 €",3 / 5,In stock,"Role-Playing, First-Person, General, Western-Style"
Black Mesa,"89,99 €",3 / 5,Out of Stock,"Action, Shooter, First-Person, Sci-Fi, Arcade"
Rise of Nations: Rise of Legends,"84,99 €",3 / 5,In stock,"Strategy, Real-Time, Fantasy, General"
FRU,"69,99 €",3 / 5,Out of Stock,"Miscellaneous, Puzzle, Action"
FTL: Faster Than Light,"84,99 €",3 / 5,In stock,"Simulation, Sci-Fi, Space, Small Spaceship, Combat"
Dragon Quest V: Hand of the Heavenly Bride,"86,99 €",3 / 5,Out of Stock,"Role-Playing, Console-style RPG, Japanese-Style"
Xenoblade Chronicles X,"91,99 €",3 / 5,In stock,"Action RPG, Role-Playing"
Ace Combat 5: The Unsung War,"89,99 €",3 / 5,Out of Stock,"Simulation, Flight, Modern Jet"
Guacamelee! 2,"75,99 €",3 / 5,N/A,"Action, Platformer, 2D"
Resogun,"77,99 €",3 / 5,Out of Stock,"Shooter, Scrolling, Action, ""Shoot-Em-Up"", Horizontal"
DEFCON: Everybody Dies,"83,99 €",3 / 5,In stock,"Strategy, Real-Time, Sci-Fi, General"
Tom Clancy's The Division 2,"46,99 €",3 / 5,Out of Stock,"First-Person, Action, Shooter, Third-Person, Tactical"
Pinball FX 2: Marvel Pinball - Vengeance and Virtue,"84,99 €",3 / 5,In stock,"Pinball, Action, Miscellaneous, Parlor"
NASCAR: Dirt to Daytona,"88,99 €",3 / 5,Out of Stock,"Driving, Racing, Stock Car"
Puyo Pop,"72,99 €",3 / 5,In stock,"Miscellaneous, Puzzle, Matching"
Rayman Advance,"78,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
Saints Row: The Third,"77,99 €",3 / 5,In stock,"Action Adventure, Modern, Open-World"
Gran Turismo 5,"78,99 €",3 / 5,Out of Stock,"Driving, Racing, Simulation, GT / Street, Automobile"
Tron 2.0,"83,99 €",3 / 5,In stock,"Action, Action Adventure, Shooter, General, First-Person, Sci-Fi, Arcade"
NieR: Automata,"86,99 €",3 / 5,Out of Stock,"Role-Playing, Action RPG"
Marvel's Spider-Man: Miles Morales,"76,99 €",3 / 5,In stock,"Action Adventure, Open-World"
Pokemon Ultra Moon,"76,99 €",3 / 5,Out of Stock,"Role-Playing, Trainer"
The Darkside Detective: A Fumble in the Dark,"79,99 €",3 / 5,In stock,"General, Adventure, Text, Point-and-Click"
Danmaku Unlimited 3,"81,99 €",3 / 5,Out of Stock,"Action, Shooter, ""Shoot-Em-Up"", Vertical"
Nioh: Complete Edition,"70,99 €",3 / 5,In stock,"Role-Playing, Action RPG"
Half-Minute Hero,"79,99 €",3 / 5,Out of Stock,"Role-Playing, General"
Madden NFL 11,"58,99 €",3 / 5,In stock,"Sports, Traditional, Team, Football, Sim"
Age of Empires II: Definitive Edition,"88,99 €",3 / 5,Out of Stock,"Strategy, Real-Time, Command"
Sega Ages: Fantasy Zone,"79,99 €",3 / 5,In stock,"Action, Shooter, ""Shoot-Em-Up"", Horizontal"
Mutant Mudds Deluxe,"73,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
The Lord of the Rings: The Battle for Middle-Earth II,"78,99 €",3 / 5,In stock,"Strategy, Real-Time, Fantasy, General"
Classic NES Series: The Legend of Zelda,"85,99 €",3 / 5,Out of Stock,"Role-Playing, Action RPG"
Battlefield Vietnam,"75,99 €",3 / 5,In stock,"Action, Shooter, First-Person, Historic, Arcade"
Medieval: Total War - Viking Invasion,"83,99 €",3 / 5,Out of Stock,"Strategy, Real-Time, Historic, General"
NBA 2K3,"63,99 €",3 / 5,In stock,"Sports, Traditional, Basketball, Sim"
Dance Dance Revolution Konamix,"87,99 €",3 / 5,Out of Stock,"Miscellaneous, Rhythm, Dancing"
Street Fighter III: 3rd Strike,"87,99 €",3 / 5,In stock,"Action, Fighting, 2D"
Tom Clancy's Ghost Recon 2 Summit Strike,"70,99 €",3 / 5,Out of Stock,"Action, Shooter, First-Person, Tactical, Modern"
Baba Is You,"80,99 €",3 / 5,In stock,"Action Adventure, Puzzle, Action, General"
Guild Wars Nightfall,"85,99 €",3 / 5,Out of Stock,"Role-Playing, General, Massively Multiplayer"
Lara Croft GO,"58,99 €",3 / 5,In stock,"Strategy, Turn-Based, General"
Disgaea 2: Cursed Memories,"70,99 €",3 / 5,Out of Stock,"Strategy, Turn-Based, Fantasy"
Minecraft: PlayStation Vita Edition,"74,99 €",3 / 5,In stock,"Action Adventure, Adventure, 3D, Sandbox, First-Person, Fantasy"
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,"78,99 €",3 / 5,Out of Stock,"Action, Miscellaneous, Rhythm, Music"
The Binding of Isaac,"83,99 €",3 / 5,In stock,"Action, Action Adventure, Shooter, Horror, Static, ""Shoot-Em-Up"", Top-Down"
Warhawk,"83,99 €",3 / 5,Out of Stock,"Action, Simulation, Shooter, Flight, Third-Person, Combat, Sci-Fi, Arcade"
Valkyrie Profile 2: Silmeria,"89,99 €",3 / 5,In stock,"Role-Playing, Console-style RPG"
New Super Mario Bros. U,"80,99 €",3 / 5,Out of Stock,"Action, Platformer, 2D"
PixelJunk Monsters: Ultimate HD,"76,99 €",3 / 5,In stock,"Strategy, Real-Time, Fantasy, Defense"
Rift,"73,99 €",3 / 5,Out of Stock,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy"
Zero Escape: Virtue's Last Reward,"88,99 €",3 / 5,In stock,"Adventure, General, Visual Novel"
